Timestamp,Air outside,"Température fan, peltier off"
2025-03-28 13:30:52,20,-16
2025-03-28 13:30:53,20,-13
2025-03-28 13:30:54,20,-14
2025-03-28 13:30:55,20,-14
2025-03-28 13:30:56,20,-14
2025-03-28 13:30:57,19,-14
2025-03-28 13:30:58,19,-14
2025-03-28 13:30:59,19,-14
2025-03-28 13:31:00,19,-14
2025-03-28 13:31:01,20,-17
2025-03-28 13:31:02,19,-12
2025-03-28 13:31:03,19,-12
2025-03-28 13:31:04,19,-9
2025-03-28 13:31:05,19,-5
2025-03-28 13:31:06,20,8
2025-03-28 13:31:07,19,10
2025-03-28 13:31:08,19,13
2025-03-28 13:31:09,20,16
2025-03-28 13:31:10,20,17
2025-03-28 13:31:11,19,17
2025-03-28 13:31:12,19,17
2025-03-28 13:31:13,19,17
2025-03-28 13:31:14,20,17
2025-03-28 13:31:15,19,18
2025-03-28 13:31:16,20,26
2025-03-28 13:31:17,19,29
2025-03-28 13:31:18,19,29
2025-03-28 13:31:19,19,31
2025-03-28 13:31:21,19,30
2025-03-28 13:31:22,19,28
2025-03-28 13:31:23,20,27
2025-03-28 13:31:24,19,26
2025-03-28 13:31:25,19,25
2025-03-28 13:31:26,19,24
2025-03-28 13:31:27,19,23
2025-03-28 13:31:28,19,27
2025-03-28 13:31:29,19,27
2025-03-28 13:31:30,19,26
2025-03-28 13:31:31,19,25
2025-03-28 13:31:32,19,25
2025-03-28 13:31:33,19,24
2025-03-28 13:31:34,19,24
2025-03-28 13:31:35,19,24
2025-03-28 13:31:36,19,23
2025-03-28 13:31:37,19,22
2025-03-28 13:31:38,19,22
2025-03-28 13:31:39,19,22
2025-03-28 13:31:40,19,21
2025-03-28 13:31:41,19,21
2025-03-28 13:31:42,19,20
2025-03-28 13:31:43,19,19
2025-03-28 13:31:44,19,20
2025-03-28 13:31:45,19,20
2025-03-28 13:31:46,19,19
2025-03-28 13:31:47,19,19
2025-03-28 13:31:48,19,19
2025-03-28 13:31:49,19,19
2025-03-28 13:31:50,19,19
2025-03-28 13:31:51,19,19
2025-03-28 13:31:52,19,18
2025-03-28 13:31:53,19,18
2025-03-28 13:31:54,19,18
2025-03-28 13:31:55,19,18
2025-03-28 13:31:56,19,18
2025-03-28 13:31:57,20,18
2025-03-28 13:31:58,19,18
2025-03-28 13:31:59,19,18
2025-03-28 13:32:00,19,18
2025-03-28 13:32:01,20,18
2025-03-28 13:32:02,20,18
2025-03-28 13:32:03,20,18
